Year,BS,MS,PHD
1970,"24,801","5,191","1,199"
1971,"23,713","5,198","1,128"
1972,"23,067","5,028","1,068"
1973,"21,635","4,834","1,031"
1974,"18,181","4,327",975
1975,"15,984","3,857",856
1976,"14,196","3,695",823
1977,"12,569","3,373",805
1978,"11,806","3,036",730
1979,"11,378","2,860",724
1980,"11,078","2,567",728
1981,"11,599","2,727",681
1982,"12,294","2,810",697
1983,"13,087","2,723",695
1984,"15,009","2,859",699
1985,"16,122","3,131",742
1986,"16,257","3,283",723
1987,"15,712","3,413",750
1988,"15,017","3,405",866
1989,"14,276","3,624",917
1990,"14,393","3,549",978
1991,"14,468","3,558","1,048"
1992,"14,384","3,644","1,138"
1993,"14,171","3,682","1,125"
1994,"13,494","3,820","1,181"
1995,"12,713","3,651","1,158"
1996,"12,401","3,504","1,134"
1997,"11,795","3,409","1,215"
1998,"12,011","3,304","1,107"
1999,"11,418","3,208","1,075"
2000,"11,171","3,209",997
2001,"11,950","3,350",923
2002,"12,505","3,620","1,007"
2003,"13,327","4,191","1,060"
2004,"14,351","4,477","1,176"
2005,"14,760","4,729","1,293"
2006,"14,958","4,884","1,351"
2007,"15,169","4,993","1,360"
2008,"15,507","5,211","1,535"
2009,"16,029","5,639","1,596"
2010,"17,182","5,866","1,586"
2011,"18,841","6,246","1,669"
2012,"20,449","6,957","1,823"
2013,"20,987","7,273","1,863"
2014,"21,854","7,589","1,801"
2015,"22,778","8,451","1,855"
2016,"24,075","9,082","1,925"
2017,"25,256","10,443","2,010"
,,,
